number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
87,0.9849239970097184,2023-11-03 20:31:15.974185,2023-11-03 20:31:28.213182,0 days 00:00:12.238997,0.001446958460897589,gbtree,0.9282900523914727,0.8642415968217835,1.0078726400629403,depthwise,0.005624588990950829,11,4,0.9454976797273127,COMPLETE
88,0.9848305507101919,2023-11-03 20:31:28.239703,2023-11-03 20:31:40.870702,0 days 00:00:12.630999,0.0013393956567441243,gbtree,0.9297407077637454,0.8602812258419277,1.0035419656643447,depthwise,0.0057112336304898466,11,1,0.988445920926557,COMPLETE
89,0.9858584600049838,2023-11-03 20:31:40.899704,2023-11-03 20:31:55.760667,0 days 00:00:14.860963,0.0014495543304934952,gbtree,0.9273444592677064,0.8656892965536627,0.8915482896542163,depthwise,0.005435114376170607,11,2,0.9899113470474223,COMPLETE
90,0.9861387989035635,2023-11-03 20:31:55.788665,2023-11-03 20:32:10.822837,0 days 00:00:15.034172,0.0014173081463188437,gbtree,0.9264537964969733,0.8604892125624329,1.0326594345270836,depthwise,0.006927261721787494,11,3,0.9887544045164934,COMPLETE
91,0.9842387241465238,2023-11-03 20:32:10.848851,2023-11-03 20:32:26.529296,0 days 00:00:15.680445,0.0014005195030684877,gbtree,0.9110719630102289,0.8595374704697428,0.8165143344523835,depthwise,0.006922206073436104,11,6,0.992356670386086,COMPLETE
92,0.9757039621231,2023-11-03 20:32:26.563311,2023-11-03 20:32:29.710226,0 days 00:00:03.146915,0.0015058630934782925,gbtree,0.9308927393774175,0.8164627359938368,0.928515715092467,depthwise,0.005204640968100287,10,21,0.9847047280410757,PRUNED
93,0.9826812858210815,2023-11-03 20:32:29.739879,2023-11-03 20:32:43.602754,0 days 00:00:13.862875,0.0017755701516708672,gbtree,0.9216918405792348,0.8627532418642687,0.7987022629548961,depthwise,0.005648201208056516,10,1,0.9995403503606484,COMPLETE
94,0.9720907052080737,2023-11-03 20:32:43.630760,2023-11-03 20:32:46.638725,0 days 00:00:03.007965,0.0013773067764850037,gbtree,0.939283033002294,0.8887860476428805,1.242457001728067,depthwise,0.00449133876261613,11,21,0.9698729407577662,PRUNED
95,0.9228756541240967,2023-11-03 20:32:46.666737,2023-11-03 20:32:48.629655,0 days 00:00:01.962918,0.001000726861495673,gbtree,0.903366962108048,0.8380394582861047,1.0261913031206076,depthwise,0.006897219286023601,9,191,0.9726184985425234,PRUNED
96,0.985796162471966,2023-11-03 20:32:48.660764,2023-11-03 20:33:00.631247,0 days 00:00:11.970483,0.0018685369230880813,gbtree,0.8930465616684903,0.8546146640011911,1.2457977591317464,depthwise,0.009451850057953622,11,1,0.9450243751385847,COMPLETE
97,0.986824071766758,2023-11-03 20:33:00.657250,2023-11-03 20:33:28.587318,0 days 00:00:27.930068,0.0017861869743441736,gbtree,0.8901956432926228,0.8661940094302276,0.6126534278942468,lossguide,0.009749814269394804,11,1,0.9909164875984527,COMPLETE
98,0.9710939446797907,2023-11-03 20:33:28.614841,2023-11-03 20:33:32.759278,0 days 00:00:04.144437,0.001673299881241267,gbtree,0.8931796417002474,0.8524433991462169,0.7465945167741569,lossguide,0.011539462352999248,11,29,0.9511904272231363,PRUNED
99,0.9840829803139796,2023-11-03 20:33:32.786278,2023-11-03 20:33:58.777291,0 days 00:00:25.991013,0.0019197001662699456,gbtree,0.9199538728063485,0.8260695806242919,0.6789773415542637,lossguide,0.01011732990415705,10,1,0.9648315545356476,COMPLETE
